"epoch","class_error","loss","loss_ce","loss_bbox","loss_giou","AP","AP50","AP75","APs","APm","APl"
"0","25.22","12.3450","0.7142","0.1736","1.1041","0.075","0.164","0.062","0.000","0.009","0.129"
"5","2.61","0.9896","0.1603","0.0953","0.7186","0.306","0.676","0.227","0.049","0.201","0.402"
"10","0.87","0.9651","0.1320","0.0960","0.7137","0.333","0.691","0.267","0.038","0.269","0.453"
"15","2.61","0.9738","0.1101","0.0941","0.7607","0.314","0.671","0.262","0.020","0.209","0.422"
"20","0.87","0.9219","0.1002","0.0900","0.7142","0.378","0.743","0.356","0.060","0.335","0.502"
"25","2.61","0.8778","0.1321","0.0864","0.6681","0.353","0.699","0.320","0.024","0.322","0.479"
"30","2.61","0.9079","0.1268","0.0892","0.7003","0.337","0.709","0.277","0.046","0.276","0.460"
"35","1.74","0.8667","0.0998","0.0813","0.6716","0.352","0.730","0.282","0.031","0.251","0.473"
"40","3.48","0.9568","0.1000","0.0905","0.7373","0.288","0.645","0.198","0.019","0.252","0.407"
"50","1.74","0.8836","0.1008","0.0840","0.6744","0.356","0.716","0.309","0.045","0.323","0.478"
"60","1.74","0.8486","0.1050","0.0805","0.6718","0.356","0.707","0.337","0.036","0.297","0.492"
"70","0.87","0.9334","0.0927","0.0860","0.7279","0.319","0.732","0.209","0.022","0.273","0.441"
"80","1.74","0.9218","0.1023","0.0851","0.7071","0.322","0.703","0.237","0.097","0.270","0.441"
"90","1.74","0.7654","0.0801","0.0723","0.6061","0.393","0.735","0.390","0.072","0.282","0.540"
"95","1.74","0.7874","0.1123","0.0748","0.5958","0.390","0.763","0.380","0.054","0.330","0.518"
"100","0.87","0.7976","0.0971","0.0731","0.5688","0.387","0.758","0.374","0.028","0.307","0.530"